Event Name,Date (DD/MM/YY),Event Type,Title,Organization,Program URL,Program,Format,Online / In-Person,Length,Organization URL,Event Promo,Full Length Video,Teaser Video,"City, Country",Full Address,Org Industry,Org Type,Organization Tags,Description,Elements,Topic Focus,Theme,Niche,Tags
Growth Secrets Live,29-Jan-20,Webinar,"Growth Secrets: SEO, Keyword Strategy, and Content Growth-Hacks",Growth Secrets,https://growthsecrets.thinkific.com/,Growth Secrets Live,Host,In-Person,2 Hours,https://growthsecrets.org/,-,https://youtu.be/aVCzCZKOyeU,https://youtu.be/GC6UC2jmKSY,"Copenhagen, Denmark",-,Marketing education,Education platform,"growth hacking, online education, workshops, community, marketing","Keyword strategy, content systems, SEO quick wins, and compounding organic traffic","keyword strategy, SEO, content systems, compounding traffic",SEO and content,Digital Marketing Sales,Marketers,"SEO, keywords, content, organic growth, strategy"
2019,,,,,,,,,,,,,,,,,,,,,,,,
Growth Hacks for Traction - SCORE,19-Dec-19,Webinar,Growth-Hacks - Quick Wins and Great Tools for Your Business to Gain Traction,SCORE,https://www.score.org/author/taylor-ryan,SCORE Webinars,Webinar,Online,1 Hour,https://www.score.org/,https://www.score.org/event/growth-hacks-quick-wins-and-great-tools-your-business-gain-traction,-,-,"Washington, DC, United States",-,Small business,Nonprofit,"Mentorship, Small business, Entrepreneurship, Education, Workshops, US SBA","Rapid growth playbook, channel tests, tool stack, quick wins, traction metrics","Experiment backlog, channels, tooling, analytics, execution cadence",Growth hacking,Digital Marketing Sales,Small business owners,"Growth tactics, Quick wins, Tool stack, Traction, Small business"
OIE Demo Day 2019,9-Dec-19,Startup Competition,2019 OIE Demo Day for the Entrepreneurial Processes (EP) MBA Course,Copenhagen Business School,-,EP MBA Course,Judge,In-Person,6 Hours,https://www.cbs.dk/en,-,-,-,"Frederiksberg, Denmark","Solbjerg Plads 3, 2000 Frederiksberg, Denmark",Higher education,University,"Business school, MBA, Entrepreneurship, Research, Copenhagen","Startup pitch judging, traction review, strategic feedback, Q&A","Pitch evaluation, traction signals, GTM feedback, Q&A",Startup evaluation,Start-ups and Entrepreneurship,MBA students,"Pitch judging, Entrepreneurship, MBA, Startups, Venture building"
CBS MBA Guest Lecture,13-Dec-19,Guest Lecture,CBS - Innovation - MBA Guest Lecture,Copenhagen Business School,-,MBA Program,Guest Lecture,In-Person,2 Hours,https://www.cbs.dk/en,-,-,-,"Frederiksberg, Denmark","Solbjerg Plads 3, 2000 Frederiksberg, Denmark",Higher education,University,"Business school, MBA, Innovation, Strategy, Copenhagen","Innovation strategy, experimentation, growth models, monetization thinking","Innovation frameworks, experimentation, business models, monetization",Innovation strategy,Corporate Innovation,MBA graduates,"Innovation, Experimentation, Business models, Strategy, Growth"
CBS MBA Guest Lecture,13-Dec-19,Guest Lecture,CBS - Business Models and Digital Platforms MBA course - Innovation and Monetization Strategies,Copenhagen Business School,https://cse.cbs.dk/mentor/taylor-ryan/,Business Models and Digital Platforms,Guest Lecture,In-Person,2 Hours,https://www.cbs.dk/en,-,https://youtu.be/K96uec9W4l8,-,"Frederiksberg, Denmark","Solbjerg Plads 3, 2000 Frederiksberg, Denmark",Higher education,University,"Business school, MBA, Digital platforms, Strategy, Copenhagen","Platform monetization, pricing logic, growth loops, market dynamics","Platforms, monetization, pricing, growth loops, strategy",Platform monetization,Product,MBA students,"Platforms, Monetization, Strategy, Growth, MBA"
Social Media Manageren 2019,3-Dec-19,Conference,Fast Growth Hacks and tools to WIN at SoMe,GroupM,https://socialmedia-manageren.dk/,Social Media Manageren 2019,Keynote,In-Person,45 Minutes,https://www.groupm.com/,https://socialmedia-manageren.dk,https://youtu.be/gvtKlSuJYkc,-,"Aarhus, Denmark",-,Advertising,Agency network,"Media agency, Advertising, Performance marketing, Brand strategy, Data","Fast social growth hacks, tooling, content loops, paid plus organic, measurement","Content loops, paid amplification, community, analytics, tooling",Social growth,Digital Marketing Sales,Social media marketers,"Social media, Growth hacks, Tool stack, Content strategy, Paid social"
Morning X Growth Hacking,28-Nov-19,Workshop,Talent Garden Morning X Growth Hacking - GROWTH HACKING with Taylor Ryan,The Camp (Tryg),https://www.tryg.dk/,Morning X,Workshop,In-Person,1 Hour,https://www.tryg.dk/,https://thecamp.io/,https://youtu.be/gFYRWbSXxeM,-,"Ballerup, Denmark","Klausdalsbrovej 601, 2750 Ballerup, Denmark",Innovation hub,Corporate program,"Innovation, Startups, Corporate, Denmark, Community","Growth hacking fundamentals, experiment design, channel testing, execution cadence","Experiment design, channels, KPIs, prioritization, systems",Growth hacking,Digital Marketing Sales,Founders,"Growth hacking, Experiments, Startups, Execution, Funnels"
Corporate Innovation Workshop,22-Nov-19,Workshop,Closed Workshop - Man Energy Marketing funnels and growth-hacking for future growth,MAN Energy Solutions,https://www.man-es.com/,Man Energy Internal Workshop,Workshop,In-Person,1 Hour,https://www.man-es.com/,-,-,-,"Copenhagen, Denmark",-,Industrial manufacturing,Industrial company,"Energy, Manufacturing, B2B, Innovation, Industrial","Marketing funnels, growth experimentation, pipeline thinking, prioritization","Funnels, experimentation, pipeline, messaging, measurement",Funnel growth,Corporate Innovation,B2B marketing teams,"Funnels, Growth hacking, B2B, Pipeline, Experimentation"
Spark Conference 2019,14-Nov-19,Conference,How to Manage Your Social Team for Maximum Results,Brandwatch (Falcon),-,Spark Conference 2019,Keynote,In-Person,30 Minutes,https://www.brandwatch.com/,https://www.falcon.io/spark/videos/interview-bootstrapping-social-taylor-ryan/,https://www.youtube.com/watch?v=qgfNvEjgljA,https://youtu.be/dPVtp6amqxA,"Copenhagen, Denmark","Lokomotivværkstedet, Otto Busses Vej 5A, 2450 København SV, Denmark",Marketing technology,SaaS,"Social media, Analytics, Martech, Community, Enterprise","Social team ops, workflows, measurement, process, scaling outputs","Process, governance, KPI dashboards, content ops, tooling",Social ops,Digital Marketing Sales,Social media teams,"Social media, Team workflows, KPIs, Process, Management"
CPH UX,28-Oct-19,Conference,Hacking Growth and UX,CPH UX,https://www.meetup.com/cphuxofficial/,CPH UX Meetup,Keynote,In-Person,2 Hours,https://cphux.com/,-,https://youtu.be/bmC_86ws_TE,https://youtu.be/1H15S1Lzcc8,"Copenhagen, Denmark",-,Design community,Community organization,"UX, Design, Product, Copenhagen, Community","Growth meets UX, psychology hacks, conversion uplift, experiment-driven design","CRO, UX psychology, experimentation, funnels, analytics",Growth UX,Product,Product designers,"Growth, UX, CRO, Experiments, Funnels"
Startup Hacks and Growth,28-Oct-19,Webinar,1 Hour of Start-up Hacks and Growth,HYPE Sports Innovation,https://hypesportsinnovation.com/,Hyper Sports Innovation Accelerator,Webinar,In-Person,1 Hour,https://hypesportsinnovation.com/,-,https://youtu.be/hCOef2ZyKew,-,"Petah Tikva, Israel",-,Sports innovation,Innovation platform,"Sports tech, Startups, Innovation, Community, Acceleration","Early traction tactics, GTM basics, founder execution habits","Traction, GTM, prioritization, experiments, founder routines",Startup traction,Start-ups and Entrepreneurship,Startups,"Traction, GTM, Growth hacks, Founders, Startups"
Internet i Fokus 2019,22-Oct-19,Conference,"Growth-Hacking SoMe: Concepts, Tools, and Scalable Quick Wins",Internet i Fokus,https://internetifokus.se/,Internet i Fokus 2019,Keynote,In-Person,30 Minutes,https://internetifokus.se/,-,https://youtu.be/7AHifFYlUQc,https://youtu.be/LMXRddhNq44,"Malmö, Sweden","Scandic Triangeln, Triangeln 2, 200 10 Malmö, Sweden",Digital marketing,Conference organizer,"SEO, Social, Digital marketing, Sweden, Conference","SoMe growth systems, tools, scalable workflows, repeatable quick wins","SoMe strategy, tooling, workflows, experimentation, measurement",Social growth,Digital Marketing Sales,Marketers,"Social media, Growth, Tooling, Workflows, Experiments"
Search Stars Conference 2019,10-Oct-19,Conference,Explosive Growth With Content Marketing Hacks: What works + Why it matters,Search Stars,-,Search Stars Conference 2019,Keynote,In-Person,30 Minutes,https://searchstars.se/,-,https://youtu.be/Q_02zufahjs,https://youtu.be/qJQkwSeOHEc,"Malmö, Sweden","Studio Malmö, Nordenskiöldsgatan 24, Malmö, Sweden",SEO,Conference organizer,"SEO, Content, Digital marketing, Sweden, Conference","Content growth systems, compounding distribution, what works now, why it wins","Content strategy, distribution, SEO, experimentation, measurement",Content growth,Content,Marketers,"Content marketing, SEO, Distribution, Growth, Strategy"
Growth Hacking Masterclass #2,8-Oct-19,Masterclass,2 Day Growth Hacking Masterclass #2 - Bootstrapping techniques for startups + marketers,Talent Garden,https://talentgarden.com/en/,Growth Hacking Masterclass,Workshop,In-Person,16 Hours,https://talentgarden.org/en/,https://growthsecrets.thinkific.com/,https://www.youtube.com/watch?v=aH8nloYW-QY&list=PLFJfSY4pt8T3gwDY6zjJJYdlvdxJEVzdF&ab_channel=TaylorRyan,-,"Copenhagen, Denmark","Danneskiold-Samsøes Allé 41, 1434 København K, Denmark",Education,Coworking and education platform,"Workshops, Startups, Digital marketing, Community, Copenhagen","Bootstrapping growth, channel mechanics, experiments, systems, execution discipline","Bootstrapping, experiments, channels, metrics, systems",Growth systems,Digital Marketing Sales,Startups,"Bootstrapping, Growth hacking, Experiments, Channels, Systems"
Industry Collaboration and Startup Growth,7-Oct-19,Guest Lecture,Industry collaboration and start-up growth from a founder - ArchitectureQuote,CPH Business,-,-,Guest Lecture,In-Person,2 Hours,https://www.cphbusiness.dk/,-,-,-,"Copenhagen, Denmark",-,Higher education,College,"Digital business, Entrepreneurship, Education, Denmark, Students","Founder growth lessons, partnerships, traction, industry collaboration","Partnerships, traction, GTM, founder lessons",Startup growth,Start-ups and Entrepreneurship,Students,"Founders, Partnerships, Traction, GTM, Entrepreneurship"
Nordic Growth Hackers #15,3-Oct-19,Meetup,How to win on Organic with Linkedin - SoMe Hacks,Nordic Growth Hackers,https://nordicgrowthhackers.com/nordic-growth-hackers-15/,Nordic Growth Hackers #15,Keynote,In-Person,20 Minutes,https://nordicgrowthhackers.com/,-,https://youtu.be/GVOykRNf3tM,https://youtu.be/XH6YPOhPcy8,"Copenhagen, Denmark","Matrikel1, Højbro Plads 10, 1200 København K, Denmark",Growth community,Community organization,"Growth, Startups, Community, Meetups, Nordics","LinkedIn organic growth, content loops, profile mechanics, distribution tactics","LinkedIn, content loops, profile optimization, distribution, engagement",LinkedIn growth,Digital Marketing Sales,Marketers,"LinkedIn, Organic, SoMe, Content, Distribution"
Video Marketing Meetup,4-Oct-19,Meetup,Video Marketing Meetup - SEO For Video Marketing Growth Hacks,TwentyThree,https://video.twentythree.com/video-marketing-meetup,Video Marketing Meetup,Keynote,Online,15 Minutes,https://www.twentythree.com/,https://video.twentythree.com/b2b-video-marketing-growth-hacks/join,https://www.youtube.com/watch?v=ExnydJLegMk,https://youtu.be/yQhz_hYF_mI,"Copenhagen, Denmark","Sortedam Dossering 7E, 2200 Copenhagen, Denmark",Video marketing,SaaS,"Video, Marketing, SaaS, B2B, Content","Video SEO tactics, distribution, discoverability, compounding content performance","Video SEO, metadata, distribution, content strategy, analytics",Video SEO,Digital Marketing Sales,Marketers,"Video, SEO, Content, Distribution, Growth"
TechBBQ 2019,18-Sep-19,Conference,How Ai Generated Content Will Break the Internet,TechBBQ,https://techbbq.dk/,Main Stage,Keynote,In-Person,1 Hour,https://techbbq.dk/,-,https://youtu.be/v22N2relntw,-,"Copenhagen, Denmark","Øksnehallen, Halmtorvet 11, 1700 København V, Denmark",Startup ecosystem,Conference organizer,"Startups, Conference, Denmark, Innovation, Networking","AI content explosion, distribution collapse, trust erosion, new creator playbooks","AI content, distribution, trust, creator economy, SEO shifts",AI content,AI and Automation,Marketers,"AI, Content, Distribution, Trust, Marketing"
TechBBQ 2019,8-Sep-19,Conference,Why Major Brands Are Ditching the CMO Position,TechBBQ,https://techbbq.dk/,TechBBQ 2019 - Innovation Stage,Keynote,In-Person,25 Minutes,https://techbbq.dk/,-,https://youtu.be/PEWQdW1qbCQ,https://youtu.be/PEWQdW1qbCQ,"Copenhagen, Denmark",-,Startup ecosystem,Conference organizer,"Startups, Conference, Denmark, Innovation, Networking","CMO role shifts, org design, performance pressure, modern GTM leadership","CMO role, org structure, GTM, performance marketing, leadership",Marketing leadership,Leadership,Marketing leaders,"CMO, Leadership, GTM, Org design, Marketing"
Fuckup Nights Copenhagen,18-Sep-19,Community Event,FuckUpNights - Taylor Ryan - My Journey and What I’ve Learned,Fuckup Nights Copenhagen,https://techbbq.dk/,Fuckup Nights (TechBBQ),Keynote,In-Person,30 Minutes,https://www.facebook.com/fckupnightscph/,https://m.facebook.com/fckupnightscph/photos/a.892875470732595/2508394202514039/?type=3&source=57,https://youtu.be/SAwg9_pZAEw,https://youtu.be/_92TcCdiQbI,"Copenhagen, Denmark","Øksnehallen, Halmtorvet 11, 1700 København V, Denmark",Community events,Meetup group,"Community, Storytelling, Startups, Copenhagen, Events","Founder lessons, failures, pivots, resilience, what actually matters","Founder story, mistakes, pivots, resilience, lessons",Founder storytelling,Start-ups and Entrepreneurship,Founders,"Failure, Storytelling, Resilience, Startups, Lessons"
Tech Festival 2019,5-Sep-19,Festival,Organic Reach: The Current and Future of Marketing + Tools and Hacks,Tech Festival,https://www.linkedin.com/pulse/dark-side-growth-hacking-anders-graab%C3%A6k/,Main Stage,Opening Keynote,In-Person,1.5 Hours,https://www.facebook.com/techfestivalCPH/,-,https://youtu.be/VZBqQcXS19Q,https://www.youtube.com/watch?v=h8WGi9P2QNo,"Copenhagen, Denmark","REPUBLIKKEN, Vesterbrogade 26, 1620 København V, Denmark",Tech community,Festival organizer,"Tech, Community, Copenhagen, Startups, Events","Organic reach playbooks, channel mechanics, tools, tactical shortcuts that scale","Organic reach, tools, channels, distribution, experimentation",Organic growth,Digital Marketing Sales,Marketers,"Organic, Growth hacks, Tools, Distribution, Marketing"
NIMS Innovation Lecture + Valuer Orientation,22-Aug-19,Guest Lecture,Nims - Innovation + Valuer Orientation for CBS Masters Program,Copenhagen Business School,https://cbsstudents.dk/professional/cbs-case-club-m86jd-kehy6-y3fhr-yra3c-hzchm-hmglg,NIMS Masters Program,Lecture,In-Person,40 Minutes,https://www.cbs.dk/en,-,https://youtu.be/_e4ykgr_O4E,-,"Frederiksberg, Denmark","Solbjerg Plads 3, 2000 Frederiksberg, Denmark",Higher education,University,"Business school, Masters, Innovation, Copenhagen, Students","Innovation basics, valuation mindset, startup analysis, decision frameworks","Innovation, valuation, case thinking, frameworks",Innovation basics,Corporate Innovation,Masters students,"Innovation, Valuation, Frameworks, MBA, Startups"
12 Accelerators in 1 Webinar,1-Aug-19,Webinar,12 Accelerators in 1 Webinar - Growth Hacking - Inbound Marketing Hacks,HYPE Sports Innovation,https://www.hypesportsinnovation.com/,Hyper Sports Innovation Accelerator,Webinar,Online,1 Hour,https://hypesportsinnovation.com/,-,https://youtu.be/hCOef2ZyKew,-,"Petah Tikva, Israel",-,Sports innovation,Innovation platform,"Sports tech, Startups, Innovation, Community, Acceleration","Inbound plays, accelerator insights, quick wins, founder execution habits","Inbound marketing, accelerators, quick wins, experimentation",Inbound growth,Digital Marketing Sales,Startups,"Inbound, Growth hacking, Accelerators, Experiments, Startups"
Video Thoughts on Future of Marketing,30-Jul-19,Workshop,LunarWay (Lunar) wants to get an hour of Growth Hacks at Talent Garden,Lunar,-,Lunar - Internal Workshop,Workshop,Online,2 Hours,https://lunar.app/dk/,-,https://youtu.be/eauWVoLYmaw,-,"Copenhagen, Denmark","Bredgade 43, 1260 København K, Denmark",Fintech,Fintech company,"Fintech, Banking, Denmark, Product, Growth","Growth hacks, experimentation, channel mechanics, marketing systems for scale","Experimentation, channels, metrics, tooling, systems",Growth systems,Digital Marketing Sales,Fintech teams,"Growth hacking, Experiments, Fintech, Marketing ops, Tooling"
Expansion and Branding As A Startup,5-Jul-19,Meetup,Expansion and Branding As A Startup,Pier47,-,-,Keynote,In-Person,30 Minutes,-,-,https://www.youtube.com/watch?v=oHUA6A4VGOg,https://youtu.be/Bl1L3C0Amc4,"Copenhagen, Denmark","Langelinie Allé 47, 2100 København Ø, Denmark",Innovation hub,Innovation hub,"Startups, Innovation, Copenhagen, Community, Events","Brand strategy, market entry, positioning, growth sequencing for expansion","Branding, positioning, market entry, growth sequencing",Expansion strategy,Start-ups and Entrepreneurship,Founders,"Expansion, Branding, Positioning, GTM, Startups"
Growth Hacking Masterclass #1,9-May-19,Workshop,Sold out 2 Day Growth-Hacking Masterclass #1,Talent Garden,https://talentgarden.com/en/,Growth Hacking Masterclass,Host,In-Person,16 Hours,https://talentgarden.org/en/,-,https://youtu.be/HaF1GfIAD4A,-,"Copenhagen, Denmark","Danneskiold-Samsøes Allé 41, 1434 København K, Denmark",Education,Coworking and education platform,"Workshops, Startups, Digital marketing, Community, Copenhagen","Growth hacking foundations, experimentation, channel tactics, systems, execution discipline","Experiments, channels, KPIs, systems, execution",Growth hacking,Digital Marketing Sales,Startups,"Growth hacking, Experiments, Funnels, Channels, Startups"
DJØF Future Talent Academy,4-May-19,Workshop,3 Hour Growth-Hacking Workshop and Growth For The Future - Digital Work track Held at SOHO,DJØF,https://www.djoef.dk/,Digital Work Track,Workshop,Online,3 Hours,https://www.djoef.dk/,-,https://www.youtube.com/watch?v=P0hU5AAfxYY,-,"Copenhagen, Denmark","SOHO, Flæsketorvet 68, 1711 København V, Denmark",Professional association,Association,"Careers, Professionals, Denmark, Education, Networking","Growth hacking workshop, tools, frameworks, modern career-ready digital execution","Frameworks, tooling, experiments, funnels, execution",Growth hacking,Digital Marketing Sales,Career professionals,"Growth hacking, Tooling, Careers, Digital, Funnels"
CBS Agency Day 2019,8-Apr-19,Conference,Creating your own path within the agency business (from freelance to your own agency),Copenhagen Business School,-,-,Keynote Workshop,In-Person,40 Minutes,https://www.cbs.dk/en,-,https://youtu.be/2gzVBgcFhFs,https://youtu.be/6bJUbx0Njho,"Frederiksberg, Denmark","Solbjerg Plads 3, 2000 Frederiksberg, Denmark",Higher education,University,"Business school, Students, Careers, Entrepreneurship, Copenhagen","Agency growth lessons, positioning, client acquisition, building from freelance to founder","Agency building, positioning, sales, operations, scaling",Agency growth,Start-ups and Entrepreneurship,Aspiring founders,"Agency, Freelance, Entrepreneurship, Growth, Sales"
Marketing Lab Graduation,4-Apr-19,Guest Lecture,How to use your new digital marketing skills strategically and in your job search,CBS / Marketing Lab,https://www.marketinglab.dk/,Marketing Lab Program,Keynote / Workshop,In-Person,30 Minutes,https://www.cbs.dk/en,-,https://youtu.be/0z2v55eMzZI,https://youtu.be/LYviXNqsAFw,"Copenhagen, Denmark",-,Education,Education program,"Digital marketing, Students, Careers, Denmark, Education","Job search strategy, digital skill leverage, positioning, portfolio proof","Positioning, portfolio, job search strategy, digital skills",Career strategy,Job Search,Graduates,"Job search, Marketing skills, Portfolio, Positioning, Careers"
ITU Freelancer Day,6-Apr-19,Conference,Creating Opportunities via Growth Hacking and Digital Marketing,IT University of Copenhagen,-,-,Keynote / Workshop,In-Person,1 Hour,https://www.itu.dk/,-,https://youtu.be/_HFiAnUDHOc,https://youtu.be/b9gNZMlaQXA,"Copenhagen, Denmark","Rued Langgaards Vej 7, 2300 København S, Denmark",Higher education,University,"University, Tech, Students, Copenhagen, Careers","Freelance opportunities, lead gen, positioning, growth tactics, portfolio proof","Lead gen, positioning, outreach, content, systems",Freelance growth,Digital Marketing Sales,Freelancers,"Freelance, Lead gen, Growth hacking, Positioning, Marketing"
CBS Collection Pre-launch Event,3-Apr-19,Event,How to Win at Branding + Growth-Hack SoMe for your B2C Product,Copenhagen Business School,-,-,Keynote,In-Person,1 Hour,https://www.cbs.dk/en,https://www.cbsstudents.dk/events/cbs-collection-pre-launch-event,https://youtu.be/fpNTmYttxSo,https://youtu.be/lQcyk3wtT14,"Frederiksberg, Denmark","Solbjerg Plads 3, 2000 Frederiksberg, Denmark",Higher education,University,"Business school, Students, Entrepreneurship, Copenhagen, Events","Branding plus growth, B2C social loops, positioning, distribution tactics","Branding, SoMe loops, positioning, distribution, B2C growth",Brand and growth,Digital Marketing Sales,B2C founders,"Branding, B2C, Social, Growth hacking, Positioning"
Startup Pitch and Job Fair,3-Apr-19,Event,"Pitching Valuer, Answering Questions, and Meeting future tech talent",Copenhagen Business School,-,-,Pitch,In-Person,5 Minutes,https://www.cbs.dk/en,-,-,-,"Frederiksberg, Denmark","Solbjerg Plads 3, 2000 Frederiksberg, Denmark",Higher education,University,"Business school, Students, Entrepreneurship, Copenhagen, Events","Fast pitch, Q&A, founder story, hiring signal, traction credibility","Pitch, Q&A, hiring, traction proof, narrative",Pitching,Start-ups and Entrepreneurship,Recruiters,"Pitching, Hiring, Startups, Students, Talent"
Digital Enterprise Festival 2019,7-Feb-19,Festival,What can corporates learn from startups,Enterprise Edge,https://investindk.com/events/join-us-for-the-digital-enterprise-festival-in-copenhagen,-,Host / Speaker,In-Person,1 Day,https://enterprise-edge.com/,-,https://www.youtube.com/watch?v=MYjY3b6KLEA,https://youtu.be/R7-M6R5YkTQ,"Copenhagen, Denmark","Skt. Petri Hotel, Krystalgade 22, 1172 København, Denmark",Digital transformation,Consultancy,"Digital transformation, Enterprise, Innovation, Denmark, Events","Corporate learning from startups, speed, culture, experimentation, execution","Corporate innovation, experimentation, culture, execution",Startup x corporate,Corporate Innovation,Innovation leaders,"Innovation, Corporate, Startups, Experimentation, Culture"
Talent Garden Mornings,31-Jan-19,Meetup,The Growth Hacking Mindset,Talent Garden,https://talentgarden.com/en/,Community Events,Keynote,In-Person,1.5 Hours,https://talentgarden.org/en/,https://www.facebook.com/events/236644813892758/,https://youtu.be/UvyHUUkdnvA,https://youtu.be/Dlt9Vk7oFKg,"Copenhagen, Denmark","Danneskiold-Samsøes Allé 41, 1434 København K, Denmark",Education,Coworking and education platform,"Workshops, Startups, Digital marketing, Community, Copenhagen","Growth mindset, hypothesis-driven experiments, quick wins, scalable habits","Experiment design, funnel thinking, rapid iteration, metrics, tooling",Growth mindset,Digital Marketing Sales,Startups,"Growth hacking, Experiments, Funnels, Metrics, Tooling"
2018,,,,,,,,,,,,,,,,,,,,,,,,
MarketingLab Workshop - University of Copenhagen,29-Nov-18,Workshop,Content Marketing that Works,University of Copenhagen,https://www.marketinglab.dk/,MarketingLab,"Lecture, Workshop",In-Person,3 Hours,https://www.ku.dk/en,-,https://youtu.be/aaUHBhR2AU4,-,"Copenhagen, Denmark","Krystalgade 25, 1172 Copenhagen K, Denmark",Higher Education,University,"Research university, Denmark, Student programs, Executive education, Innovation ecosystem","Content strategy, SEO basics, editorial planning, distribution, measurable growth loops","Content strategy, SEO foundations, editorial calendar, distribution channels, messaging, audience research, analytics",Content marketing,Digital Marketing Sales,Marketing students,"Content marketing, SEO, Growth strategy, Copywriting, Distribution"
MarketingLab Workshop - Google,23-Oct-18,Workshop,Growth strategy and content for marketing growth (Content Strategy),Google,https://www.marketinglab.dk/,MarketingLab,"Lecture, Workshop",In-Person,3 Hours,https://about.google/,-,https://youtu.be/OPchYCW60gc,-,"Frederiksberg, Denmark","Solbjergvej 3 (3rd floor), 2000 Frederiksberg, Denmark",Technology,Technology Company,"AI and cloud, Ads and analytics, Search ecosystem, Product innovation, Global brand","Startup content strategy, positioning, channel fit, fast experiments, measurable growth","Content strategy, positioning, messaging frameworks, channel selection, SEO, experiment design, measurement",Content strategy,Digital Marketing Sales,Marketing students,"Content strategy, Startups, SEO, Messaging, Growth experiments"
Conferize Event,9-Apr-18,Conference,Startup Growth Hacking: The stuff they don't teach you in school,Conferize,https://conferize.com/,Conferize - Event Marketing ,"Keynote, Workshop",In-Person,2 Hours,https://conferize.com/,-,https://youtu.be/mxNUeFJLdM8,-,"Frederiksberg, Denmark","Suomisvej 4, 1927 Frederiksberg C, Denmark",Event Technology,SaaS,"Event platform, Hybrid events, Ticketing, Networking features, Nasdaq Copenhagen listed","Bootstrapped growth hacking, acquisition loops, lean analytics, repeatable experiments","AARRR funnel, acquisition loops, activation hooks, retention mechanics, lightweight analytics, experimentation cadence",Startup growth hacking,Start-ups and Entrepreneurship,Startup founders,"Growth hacking, Startups, Funnels, Experiments, Metrics"
Introduction to Digital Marketing,30-Jul-18,Workshop,Marketing and Digital Growth with Google,Google,https://buildyourfuture.withgoogle.com/events/,Build Your Future with Google,"Lecture, Workshop",In-Person,3 Hours,https://about.google/,-,https://www.youtube.com/watch?v=rwiCvWfUxOk,https://youtu.be/5adMzU5BBgI,"Copenhagen, Denmark","Sankt Petri Passage 5, 1165 Copenhagen K, Denmark",Technology,Technology Company,"AI and cloud, Ads and analytics, Search ecosystem, Product innovation, Global brand","Digital marketing fundamentals, search basics, measurement, Google tools, practical growth tactics","Marketing fundamentals, search intent, SEO basics, Google tools, analytics, conversion thinking, measurement plan",Digital marketing,Digital Marketing Sales,Aspiring marketers,"Digital marketing, SEO, Analytics, Growth tactics, Google tools"
2017,,,,,,,,,,,,,,,,,,,,,,,,
Københavns Kommune Dansk Præsentation,11-Aug-17,Workshop,Starting Your Business from Zero,Københavns Kommune,-,Entrepreneurship Workshops Series,"Host, Workshop",In-Person,2 Hours,https://www.kk.dk/,-,-,-,"Copenhagen, Denmark","Rådhuspladsen 1, 1550 København V, Denmark",Government,Municipality (local government),"public sector, citizen services, business support, Copenhagen, Denmark","Business setup from zero, registration, permits, early validation, common pitfalls","entrepreneurship, business registration, permits, validation, early marketing, Denmark",Startup Basics,Start-ups and Entrepreneurship,Entrepreneurs,"startups, entrepreneurship, Denmark, business setup, validation"
DTU Innovation Pilot,13-Sep-17,Workshop,What to Expect in Startups,DTU (Technical University of Denmark),https://innovationpilot.dtu.dk/,Innovation Pilot,Workshop,In-Person,30 Minutes,https://www.dtu.dk/,-,-,-,"Kongens Lyngby, Denmark","Anker Engelunds Vej 101, 2800 Kongens Lyngby, Denmark",Higher Education,University,"engineering, research, innovation, students, Denmark","Career reality-check for startups, roles, expectations, learning loops, picking teams","career paths, startup roles, team dynamics, risk, learning, real-world expectations",Startup Career Path,Start-ups and Entrepreneurship,Students,"startups, career, students, innovation, Denmark"
CPH Business Workshop,25-Oct-17,Workshop,"Career Insights, Working with Startups",Cphbusiness,-,-,Workshop,In-Person,30 Minutes,https://www.cphbusiness.dk/,-,-,-,"Kongens Lyngby, Denmark","Nørgaardsvej 30, 2800 Kongens Lyngby, Denmark",Higher Education,Business Academy,"applied learning, business education, entrepreneurship, Denmark, innovation","Startup career insights, skills that matter, hiring signals, networking, early-stage growth","hiring signals, skill building, networking, startup careers, role expectations, growth mindset",Startup Career Insights,Start-ups and Entrepreneurship,Students,"startups, careers, education, Denmark, networking"
Nordic Growth Hackers #8,10-May-17,Meetup,How Geniebelt Boosted Backlinks 200% in 4 Months,Nordic Growth Hackers,https://nordicgrowthhackers.com/nordic-growth-hackers-8/,Nordic Growth Hackers Meetup,Keynote,In-Person,15 Minutes,https://nordicgrowthhackers.com/,https://nordicgrowthhackers.com/team/taylor-ryan/,https://youtu.be/DGmqCPwbD_E,-,"Copenhagen, Denmark","Founders House, Njalsgade 19D, 1 fl, 2300 København S, Denmark","Marketing, Startup Community",Community,"growth marketing, startups, networking, Copenhagen, community-led","Geniebelt backlink growth case study, SEO outreach tactics, measurement, repeatable link-building system","SEO, link building, outreach, content marketing, competitor analysis, analytics",SEO Growth Hacking,Digital Marketing Sales,Startups,"SEO, growth hacking, link building, content marketing, startups"
